Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1120343,CAT,DOMESTIC SH,AC 057,AVAILABLE,FOSTER,RETURN,OTHRINTAKS,2021-06-27,APP WNL,ADOPTION,2021-06-27
A1123769,DOG,BEARDED COLLIE,5A,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-06-25,APP WNL,ADOPTION,2021-06-27
A1117123,DOG,MASTIFF,166017-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-03-31,APP WNL,RETURNED TO OWNER,2021-03-31
A1117091,CAT,DOMESTIC SH,INCU 03,UNAVAILABLE,FOSTER,RETURN,OTHRINTAKS,2021-03-31,APP WNL,TRANSFER,2021-03-31
A1116418,DOG,SIBERIAN HUSKY,166014-01,UNAVAILABLE,STRAY,AT LARGE,OTHER,2021-03-20,APP WNL,RETURNED TO OWNER,2021-03-20
A1114780,DOG,BOXER,LOST,IMPOUNDED,STRAY,WEB,,2021-01-31,NORMAL,LOST EXP,2021-03-20
A1054154,DOG,PIT BULL,PSDOG 16,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-09,APP WNL,ADOPTION,2021-03-20
A1107805,CAT,DOMESTIC SH,FOSTER,UNAVAILABLE,FOSTER,FOR ADOPT,OTHRINTAKS,2021-04-29,APP WNL,ADOPTION,2021-04-29
A1118033,WILDLIFE,RACCOON,206010-08,UNAVAILABLE,WILDLIFE,RABIES,OTHRINTAKS,2021-04-14,APP INJ,EUTHANIZED,2021-04-14
A1116212,DOG,AUST SHEPHERD,AD 024,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-16,APP WNL,TRANSFER,2021-03-20
A1115772,DOG,BOXER,AD 038,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-08,APP WNL,ADOPTION,2021-03-20
A1114998,DOG,GERM SHEPHERD,186032-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-04-29,APP WNL,RETURNED TO OWNER,2021-04-29
A1118003,DOG,CHIHUAHUA SH,LOST,IMPOUNDED,STRAY,WEB,,2021-04-10,NORMAL,LOST EXP,2021-05-15
A1122380,DOG,LABRADOR RETR,166014-01,UNAVAILABLE,CONFISCATED,SAC,OTHRINTAKS,2021-06-09,APP SICK,TRANSFER,2021-06-09
A1136098,DOG,LAKELAND TERR,LOST,IMPOUNDED,STRAY,WEB,,2020-12-31,NORMAL,LOST EXP,2022-01-15
A1115400,CAT,DOMESTIC SH,INCU 01,UNAVAILABLE,STRAY,OTC,OTHRINTAKS,2021-03-02,UNDERAGE,FOSTER,2021-03-02
A1123938,CAT,DOMESTIC SH,206008-01,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2021-06-27,APP INJ,EUTHANIZED,2021-06-27
A1116086,DOG,BASSET HOUND,DC 11,UNAVAILABLE,STRAY,AT LARGE,OTHER,2021-03-14,APP WNL,ADOPTION,2021-03-20
A1116063,DOG,LABRADOR RETR,DC 07,UNAVAILABLE,STRAY,CONFINED,OTHER,2021-03-14,APP WNL,ADOPTION,2021-03-20
A1126005,CAT,DOMESTIC SH,K13,AVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-07-23,APP SICK,FOSTER,2021-08-18
A1115858,DOG,PIT BULL,INJD 009,IMPOUNDED,TREATMENT,SX POST OP,OTHRINTAKS,2021-03-15,APP INJ,TREATMENT,2021-03-20
A1119024,DOG,PIT BULL,LFD 119,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-04-29,APP SICK,EUTHANIZED,2021-04-29
A1116990,DOG,GREAT DANE,FOUND,IMPOUNDED,STRAY,WEB,,2021-03-28,NORMAL,FOUND EXP,2021-04-29
A1119493,DOG,PIT BULL,LAB 02,LAB,OWNER SURRENDER,PICK UP,BEHAVIOR,2021-05-05,APP WNL,EUTHANIZED,2021-05-15
A1114775,DOG,ENG POINTER,FOUND,IMPOUNDED,STRAY,WEB,,2021-02-10,NORMAL,FOUND EXP,2021-03-20
A1116387,DOG,PIT BULL,NMOMS 2,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-19,APP WNL,TRANSFER,2021-03-20
A1119645,CAT,DOMESTIC SH,INCU 03,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-05-07,APP SICK,TRANSFER,2021-05-15
A1117122,DOG,PIT BULL,166017-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-03-31,APP WNL,RETURNED TO OWNER,2021-03-31
A1117502,CAT,DOMESTIC SH,FOSTER,AVAILABLE,OWNER SURRENDER,APPOINT,HOUSING,2021-04-06,APP SICK,FOSTER,2021-04-07
A1118800,DOG,ROTTWEILER,DC 23,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-04-25,APP WNL,ADOPTION,2021-04-29
A1117106,DOG,CHIHUAHUA SH,196007-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-03-31,APP WNL,RETURNED TO OWNER,2021-03-31
A1115164,CAT,DOMESTIC SH,FOSTER,UNAVAILABLE,TREATMENT,ILLNESS,OTHRINTAKS,2021-03-22,APP WNL,TREATMENT,2021-03-23
A1115169,CAT,DOMESTIC SH,FOSTER,PENDING,STRAY,CONFINED,MEDICAL,2021-02-25,APP SICK,FOSTER,2021-02-25
A1118049,DOG,POMERANIAN,LOST,IMPOUNDED,STRAY,WEB,,2021-04-12,NORMAL,LOST EXP,2021-05-15
A1115941,DOG,LABRADOR RETR,PSDOG 15,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-03-11,APP WNL,ADOPTION,2021-03-20
A1115692,DOG,CHIHUAHUA SH,LFSD 08,AVAILABLE,OWNER SURRENDER,OTC,PERSNLISSU,2021-03-06,APP WNL,FOSTER,2021-03-08
A1118536,DOG,PIT BULL,LAB 04,LAB,STRAY,AT LARGE,OTHRINTAKS,2021-04-21,APP WNL,EUTHANIZED,2021-05-15
A1120160,DOG,LABRADOR RETR,SHD 11,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2021-05-14,APP SICK,TRANSFER,2021-05-15
A1122928,DOG,GREAT DANE,AD 066,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-06-15,APP WNL,ADOPTION,2021-06-27
A1118445,DOG,PIT BULL,INJD 010,UNAVAILABLE,TREATMENT,HEART WORM,OTHER,2021-07-13,APP WNL,TREATMENT,2021-07-13
A1116504,DOG,PIT BULL,PSDOG 12,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-21,APP WNL,ADOPTION,2021-04-14
A1106162,DOG,LABRADOR RETR,PCD 02,LAB,OWNER SURRENDER,OTC,PERSNLISSU,2021-03-29,APP WNL,EUTHANIZED,2021-03-31
A1117877,CAT,DOMESTIC SH,INCU 04,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-04-12,APP WNL,TRANSFER,2021-04-14
A1125260,CAT,DOMESTIC SH,LFC 009,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-07-12,APP WNL,RETURNED TO OWNER,2021-07-13
A1115401,CAT,DOMESTIC SH,INCU 01,UNAVAILABLE,STRAY,OTC,OTHRINTAKS,2021-03-02,UNDERAGE,FOSTER,2021-03-02
A1117124,DOG,CHIHUAHUA SH,LFD 106,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2021-03-31,APP WNL,RETURNED TO OWNER,2021-03-31
A1123910,CAT,DOMESTIC SH,VT 02,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-06-26,APP INJ,EUTHANIZED,2021-06-27
A1116272,DOG,BLACK MOUTH CUR,LFD 058,UNAVAILABLE,OWNER SURRENDER,FIELD,PERSNLISSU,2021-03-17,APP WNL,ADOPTION,2021-03-20
A1123215,DOG,GERM SHEPHERD,AD 055,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-06-18,APP WNL,FOSTER,2021-06-27
A1114443,DOG,AMERICAN STAFF,INJD 009,UNAVAILABLE,TREATMENT,FOLLOWUP,OTHRINTAKS,2021-03-20,APP WNL,TREATMENT,2021-03-20
A1116083,DOG,BEAGLE,INJD 014,UNAVAILABLE,STRAY,AT LARGE,OTHER,2021-03-14,APP INJ,RETURNED TO OWNER,2021-03-20
A1115164,CAT,DOMESTIC SH,FOSTER,AVAILABLE,STRAY,CONFINED,MEDICAL,2021-02-25,APP SICK,FOSTER,2021-02-25
A1116951,DOG,PIT BULL,VIP24,UNAVAILABLE,STRAY,AT LARGE,OTHER,2021-03-29,APP INJ,ADOPTION,2021-04-29
A1111787,CAT,DOMESTIC SH,F2,UNAVAILABLE,FOSTER,FOR ADOPT,OTHER,2021-03-20,APP WNL,ADOPTION,2021-03-20
A1115492,DOG,GERM SHEPHERD,INJD 010,UNAVAILABLE,TREATMENT,HEART WORM,OTHRINTAKS,2021-04-28,APP WNL,TREATMENT,2021-04-29
A1115928,DOG,PIT BULL,AD 010,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-11,APP WNL,ADOPTION,2021-03-20
A1116310,DOG,CAIRN TERRIER,VT 01,UNAVAILABLE,OWNER SURRENDER,OTC,MEDICAL,2021-03-18,UNDERAGE,TRANSFER,2021-03-18
A1116095,DOG,AKITA,DC 06,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-03-14,APP WNL,ADOPTION,2021-03-20
A1118539,DOG,AM PIT BULL TER,LOST,IMPOUNDED,STRAY,WEB,,2021-04-19,NORMAL,LOST EXP,2021-05-22
A1117856,DOG,PUG,LFSD 12,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-04-11,APP WNL,RETURNED TO OWNER,2021-04-14
A1117839,CAT,DOMESTIC SH,FOSTER,UNAVAILABLE,FOSTER,FOR ADOPT,OTHER,2021-05-22,APP WNL,ADOPTION,2021-05-22
A1117096,WILDLIFE,OPOSSUM,206010-01,UNAVAILABLE,WILDLIFE,NON-RABIES,OTHRINTAKS,2021-03-31,UNDERAGE,EUTHANIZED,2021-03-31
A1116389,DOG,PIT BULL,NMOMS 2,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-19,APP WNL,TRANSFER,2021-03-20
A1116211,DOG,AUST SHEPHERD,AD 029,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-16,APP WNL,TRANSFER,2021-03-20
A1117476,CAT,DOMESTIC SH,FOSTER,AVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-04-05,APP WNL,FOSTER,2021-04-06
