Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A0101596,DOG,GERM SHEPHERD,DC 26,AVAILABLE,OWNER SURRENDER,APPOINT,HOUSING,2022-06-04,APP WNL,ADOPTION,2022-06-06
A0113667,DOG,POMERANIAN,INJD 015,UNAVAILABLE,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,2021-12-09,APP SICK,TRANSFER,2021-12-15
A0517410,CAT,DOMESTIC SH,LFC 061,AVAILABLE,OWNER SURRENDER,WALK IN,MEDICAL,2021-12-01,APP SICK,EUTHANIZED,2021-12-02
A0524957,CAT,DOMESTIC SH,QC 03,IMPOUNDED,KEEPSAFE,OWN DECEAS,OTHRINTAKS,2022-04-17,APP WNL,RETURNED TO OWNER,2022-04-20
A0525959,DOG,SPANIEL,LFD 074,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2022-05-04,APP WNL,RETURNED TO OWNER,2022-05-05
A0526872,DOG,CHIHUAHUA SH,186037-03,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-04-13,APP SICK,RETURNED TO OWNER,2022-04-13
A0536200,DOG,CAIRN TERRIER,PCD 13,AVAILABLE,KEEPSAFE,OWN HOSPIT,OTHRINTAKS,2022-02-07,APP WNL,RETURNED TO OWNER,2022-02-20
A0548537,DOG,LABRADOR RETR,LFD 095,UNAVAILABLE,OWNER SURRENDER,URGENT,MEDICAL,2022-06-19,APP SICK,TRANSFER,2022-06-21
A0551248,DOG,MIXED BREED,LFD 025,UNAVAILABLE,OWNER SURRENDER,APPOINT,HOUSING,2022-09-03,APP WNL,TRANSFER,2022-09-07
A0559624,DOG,CHIHUAHUA SH,CC 14,UNAVAILABLE,KEEPSAFE,OWN DECEAS,OTHRINTAKS,2022-06-25,APP SICK,ADOPTION,2022-07-06
A0561004,DOG,CHIHUAHUA SH,FREEZER,UNAVAILABLE,OWNER SURRENDER,WALK IN,MEDICAL,2022-07-05,APP WNL,EUTHANIZED,2022-07-06
A0577252,DOG,SHIH TZU,LFD 025,IMPOUNDED,OWNER SURRENDER,APPOINT,PERSNLISSU,2022-05-05,APP WNL,ADOPTION,2022-05-08
A0597189,DOG,CHIHUAHUA SH,LFD 082,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-07-15,APP WNL,TRANSFER,2022-07-29
A0601296,DOG,LABRADOR RETR,LFD 142,UNAVAILABLE,OWNER SURRENDER,URGENT,MEDICAL,2022-08-08,APP SICK,TRANSFER,2022-08-11
A0605617,DOG,CHOW CHOW,LAB 01,UNAVAILABLE,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,2021-11-22,APP WNL,TRANSFER,2021-11-24
A0608900,DOG,CHIHUAHUA SH,LFD 054,UNAVAILABLE,TRANSFER,STRAY,OTHRINTAKS,2022-08-10,APP WNL,ADOPTION,2022-08-16
A0614326,DOG,CHIHUAHUA SH,FREEZER,IMPOUNDED,OWNER SURRENDER,URGENT,MEDICAL,2021-10-09,DECEASED,DISPOSAL,2021-10-09
A0623088,DOG,LABRADOR RETR,LFD 104,AVAILABLE,OWNER SURRENDER,PICK UP,MEDICAL,2022-01-25,APP SICK,RETURNED TO OWNER,2022-01-26
A0623589,DOG,POODLE MIN,LFSD 10,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-01-03,APP WNL,RETURNED TO OWNER,2022-01-03
A0629143,DOG,MALTESE,INJD 016,IMPOUNDED,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,2021-11-01,APP SICK,RETURNED TO OWNER,2021-11-01
A0631535,DOG,TERRIER,VT 08,UNAVAILABLE,OWNER SURRENDER,URGENT,MEDICAL,2022-09-25,APP SICK,EUTHANIZED,2022-09-28
A0632169,DOG,GERM SHEPHERD,BAY 13,IMPOUNDED,OWNER SURRENDER,PICK UP,MEDICAL,2022-05-08,APP SICK,EUTHANIZED,2022-05-08
A0632406,DOG,DACHSHUND,LFD 028,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-08-10,APP WNL,RETURNED TO OWNER,2022-08-12
A0644135,DOG,CATAHOULA,FREEZER,UNAVAILABLE,OWNER SURRENDER,WALK IN,PERSNLISSU,2022-01-19,APP WNL,EUTHANIZED,2022-01-23
A0650172,DOG,GERM SHEPHERD,176001-01,IMPOUNDED,OWNER SURRENDER,URGENT,MEDICAL,2021-11-20,APP SICK,EUTHANIZED,2021-11-20
A0655660,DOG,CAIRN TERRIER,LFD 082,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-05-16,APP WNL,RETURNED TO OWNER,2022-05-20
A0656103,DOG,ROTTWEILER,LAB 03,LAB,OWNER SURRENDER,URGENT,PERSNLISSU,2022-07-28,APP INJ,EUTHANIZED,2022-08-04
A0656113,DOG,ROTTWEILER,LAB 04,LAB,OWNER SURRENDER,URGENT,PERSNLISSU,2022-07-28,APP INJ,EUTHANIZED,2022-08-04
A0657362,DOG,SHEPHERD,FREEZER,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-07-06,APP INJ,EUTHANIZED,2022-07-06
A0668790,DOG,CHIHUAHUA SH,AD 101,AVAILABLE,OWNER SURRENDER,WALK IN,HOUSING,2021-11-01,APP WNL,ADOPTION,2021-11-09
A0673908,DOG,PIT BULL,LFD 106,IMPOUNDED,STRAY,AT LARGE,OTHER,2022-01-01,APP WNL,RETURNED TO OWNER,2022-01-02
A0681623,DOG,SCHNAUZER MIN,PCD 27,AVAILABLE,KEEPSAFE,OWN HOSPIT,OTHRINTAKS,2022-02-07,APP WNL,RETURNED TO OWNER,2022-02-20
A0692317,DOG,CHIHUAHUA SH,FREEZER,UNAVAILABLE,DISPOS REQ,OTC,OTHER,2021-11-03,DECEASED,DISPOSAL,2021-11-03
A0695338,DOG,BOSTON TERRIER,FREEZER,IMPOUNDED,DISPOS REQ,OTC,OTHRINTAKS,2022-04-13,DECEASED,DISPOSAL,2022-04-13
A0703155,DOG,LABRADOR RETR,FREEZER,IMPOUNDED,DISPOS REQ,OTC,MEDICAL,2021-10-04,DECEASED,DISPOSAL,2021-10-04
A0703184,DOG,TR WALKER HOUND,VIP09,AVAILABLE,STRAY,CONFINED,OTHER,2022-05-22,APP INJ,ADOPTION,2022-06-15
