Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1093136,CAT,DOMESTIC SH,K01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2020-01-12,APP SICK,FOSTER,2020-01-12
A1046046,DOG,PIT BULL,AD 085,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2019-11-28,APP WNL,ADOPTION,2019-12-19
A1098758,BIRD,HAWK,RECEIVING,UNAVAILABLE,WILDLIFE,NON-RABIES,OTHRINTAKS,2020-03-17,APP INJ,WILDLIFE,2020-03-17
A1061310,DOG,LABRADOR RETR,LFD 163,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2019-12-18,APP WNL,RETURNED TO OWNER,2019-12-18
A1091970,CAT,DOMESTIC SH,CC 25,UNAVAILABLE,OWNER SURRENDER,GENERAL,PERSNLISSU,2019-12-28,APP WNL,ADOPTION,2019-12-30
A1091007,DOG,CHIHUAHUA SH,INJD 015,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2019-12-15,APP SICK,RETURNED TO OWNER,2019-12-19
A1092433,DOG,GERM SHEPHERD,DC 14,UNAVAILABLE,FOSTER,RETURN,PERSNLISSU,2020-01-12,APP WNL,TRANSFER,2020-01-12
A1095357,DOG,PARSON RUSS TER,PUPS 2,UNAVAILABLE,OWNER SURRENDER,GENERAL,OTHER,2020-02-06,APP WNL,TRANSFER,2020-02-07
A1086114,DOG,PIT BULL,VIP10,UNAVAILABLE,OWNER SURRENDER,GENERAL,PERSNLISSU,2019-11-16,APP WNL,ADOPTION,2019-12-18
A1091505,DOG,CHIHUAHUA SH,CC 13,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2019-12-22,APP WNL,ADOPTION,2019-12-30
A1091328,DOG,GERM SHEPHERD,DC 02,UNAVAILABLE,STRAY,AT LARGE,OTHER,2019-12-20,APP WNL,ADOPTION,2019-12-30
A1091134,DOG,ALASKAN HUSKY,LFD 158,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2019-12-17,APP WNL,RETURNED TO OWNER,2019-12-19
A1079979,DOG,PIT BULL,LAB 03,LAB,OWNER SURRENDER,APPOINT,BEHAVIOR,2020-09-25,APP WNL,EUTHANIZED,2020-09-29
A1073188,DOG,GERM SHEPHERD,RECEIVING,IMPOUNDED,STRAY,AT LARGE,OTHER,2019-12-20,APP WNL,RETURNED TO OWNER,2019-12-20
A1095260,DOG,PIT BULL,LFD 044,IMPOUNDED,STRAY,AT LARGE,OTHER,2020-02-05,APP WNL,RETURNED TO OWNER,2020-02-07
A1090539,CAT,DOMESTIC SH,K03,AVAILABLE,FOSTER,RETURN,OTHRINTAKS,2019-12-18,UNDERAGE,FOSTER,2019-12-18
A1090998,CAT,DOMESTIC SH,CC 23,UNAVAILABLE,OWNER SURRENDER,GENERAL,NOTRIGHTFT,2019-12-15,APP WNL,ADOPTION,2019-12-17
A1088787,DOG,GERM SHEPHERD,FOUND,IMPOUNDED,STRAY,WEB,,2019-11-18,NORMAL,FOUND EXP,2019-12-19
A1092019,DOG,PIT BULL,DC 21,UNAVAILABLE,OWNER SURRENDER,GENERAL,PERSNLISSU,2019-12-29,APP WNL,ADOPTION,2019-12-30
A1091109,DOG,CHIHUAHUA SH,LFD 167,IMPOUNDED,STRAY,AT LARGE,OTHER,2019-12-17,UNKNOWN,RETURNED TO OWNER,2019-12-19
A1106548,DOG,GERM SHEPHERD,LOST,IMPOUNDED,STRAY,WEB,,2020-08-26,NORMAL,LOST EXP,2020-09-29
A1091201,WILDLIFE,RACCOON,LAB 12,WILDLIFE,WILDLIFE,INJURED,OTHRINTAKS,2019-12-18,APP SICK,EUTHANIZED,2019-12-18
A1090927,DOG,SHIH TZU,LFSD 10,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2019-12-14,APP WNL,TRANSFER,2019-12-18
A1091139,DOG,TOY FOX TERRIER,VT 07,AVAILABLE,STRAY,CONFINED,OTHER,2019-12-17,APP INJ,EUTHANIZED,2019-12-18
