Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1116980,DOG,GERM SHEPHERD,FREEZER,UNAVAILABLE,CONFISCATED,SAC,OTHRINTAKS,2022-10-26,DECEASED,TRANSFER,2022-11-02
A1159727,DOG,MIXED BREED,AD 084,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-10,APP WNL,ADOPTION,2022-10-30
A1064138,DOG,AM PIT BULL TER,FREEZER,UNAVAILABLE,OWNER SURRENDER,PICK UP,MEDICAL,2022-12-29,APP SICK,EUTHANIZED,2022-12-29
A1162059,DOG,MIXED BREED,AD 101,EU RISK,STRAY,AT LARGE,OTHRINTAKS,2022-11-10,APP SICK,ADOPTION,2022-11-20
A1165475,DOG,AM PIT BULL TER,LOST,IMPOUNDED,STRAY,WEB,,2022-12-18,NORMAL,LOST EXP,2023-01-28
A1159569,DOG,MIXED BREED,LAB 03,LAB,STRAY,AT LARGE,OTHRINTAKS,2022-10-07,APP WNL,EUTHANIZED,2022-10-31
A1100625,DOG,PIT BULL,FOSTER,PRE-LAB,FOSTER,APPOINT,TRANSFER,2023-02-24,APP WNL,FOSTER,2023-02-24
A1166238,DOG,PIT BULL,ID028,LAB,OWNER SURRENDER,URGENT,MEDICAL,2023-01-05,APP SICK,EUTHANIZED,2023-01-06
A1162367,DOG,MIXED BREED,AD 060,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-15,APP WNL,ADOPTION,2022-11-26
A1160809,DOG,MIXED BREED,DC 19,AVAILABLE,STRAY,AT LARGE,OTHER,2022-10-25,APP WNL,ADOPTION,2022-11-02
A1163156,CAT,DOMESTIC SH,K15,AVAILABLE,OWNER SURRENDER,APPOINT,OTHER,2022-11-26,APP WNL,TRANSFER,2022-11-28
A1159499,DOG,GERM SHEPHERD,186037-05,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-10-07,APP WNL,RETURNED TO OWNER,2022-10-07
A1167043,DOG,MIXED BREED,DC 07,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2023-01-17,APP WNL,ADOPTION,2023-01-23
A1160941,DOG,MIXED BREED,CC 14,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-27,APP WNL,ADOPTION,2022-10-28
A1165287,DOG,MIXED BREED,LFSD 05,EU RISK,TREATMENT,ILLNESS,MEDICAL,2023-01-06,APP SICK,TREATMENT,2023-01-07
A1165152,DOG,MIXED BREED,FREEZER,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-23,APP INJ,EUTHANIZED,2022-12-23
A1159091,WILDLIFE,GUINEA PIG,PK05,AVAILABLE,CONFISCATED,SAC,OTHRINTAKS,2022-10-02,APP WNL,ADOPTION,2022-10-15
A1164002,CAT,DOMESTIC LH,FOUND,IMPOUNDED,STRAY,WEB,,2022-12-07,NORMAL,FOUND EXP,2023-01-07
A1164882,DOG,MIXED BREED,DC 23,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-20,APP WNL,FOSTER,2022-12-29
A1163502,CAT,DOMESTIC SH,FOSTER,PENDING,TREATMENT,FOLLOWUP,MEDICAL,2022-12-08,APP WNL,TREATMENT,2022-12-09
A1162082,WILDLIFE,,LOST,IMPOUNDED,STRAY,WEB,,2022-11-10,NORMAL,LOST EXP,2022-12-11
A1170421,DOG,LABRADOR RETR,VIP08,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2023-03-01,APP WNL,ADOPTION,2023-03-08
A1159855,DOG,MIXED BREED,DC 19,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-12,APP WNL,ADOPTION,2022-10-20
A1085323,DOG,GERM SHEPHERD,LFD 094,LAB,STRAY,CONFINED,OTHRINTAKS,2023-01-24,APP SICK,EUTHANIZED,2023-02-02
A1164930,DOG,POODLE MIN,146005-01,IMPOUNDED,STRAY,AT LARGE,OTHER,2022-12-21,APP WNL,RETURNED TO OWNER,2022-12-21
A1162771,DOG,MIXED BREED,FREEZER,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-20,APP INJ,EUTHANIZED,2022-11-20
A1164802,DOG,DACHSHUND,AD 096,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2022-12-28,APP WNL,ADOPTION,2023-01-03
A1155364,CAT,DOMESTIC SH,CC 38,UNAVAILABLE,TREATMENT,SPAY/NEUT,OTHER,2022-10-16,APP WNL,TREATMENT,2022-10-16
A1163991,DOG,LABRADOR RETR,LOST,IMPOUNDED,STRAY,WEB,,2022-12-05,NORMAL,LOST EXP,2023-01-07
A1159991,DOG,MIXED BREED,CC 01,IMPOUNDED,KEEPSAFE,OWN ARREST,OTHRINTAKS,2022-10-14,APP WNL,RETURNED TO OWNER,2022-10-24
A1163476,DOG,MIXED BREED,DC 05,AVAILABLE,STRAY,AT LARGE,OTHER,2022-11-30,APP WNL,RETURNED TO OWNER,2022-12-04
A1163617,DOG,MIXED BREED,DC 02,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-02,APP SICK,ADOPTION,2022-12-05
A1163192,DOG,MIXED BREED,CC 14,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-26,APP WNL,ADOPTION,2022-11-28
A1098900,DOG,MIXED BREED,LAB 02,LAB,STRAY,CONFINED,OTHRINTAKS,2022-11-02,APP WNL,EUTHANIZED,2022-11-10
A1153369,DOG,MIXED BREED,FOSTER,AVAILABLE,FOSTER,APPOINT,FOR ADOPT,2022-12-18,APP WNL,ADOPTION,2022-12-18
A1158251,CAT,DOMESTIC SH,AC 007,UNAVAILABLE,FOSTER,APPOINT,FOR ADOPT,2022-10-17,APP WNL,ADOPTION,2022-10-18
A1167625,WILDLIFE,FERRET,PK04,UNAVAILABLE,STRAY,LEFT AT,OTHER,2023-01-25,APP WNL,ADOPTION,2023-02-02
A1160468,CAT,DOMESTIC SH,CC 24,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2022-10-20,APP SICK,ADOPTION,2022-10-23
A1163702,DOG,ALASKAN HUSKY,FOUND,IMPOUNDED,STRAY,WEB,,2022-12-03,NORMAL,FOUND EXP,2023-01-03
A1166292,DOG,MIXED BREED,VT 08,EU RISK,STRAY,AT LARGE,OTHRINTAKS,2023-01-05,APP INJ,TRANSFER,2023-01-09
A1159533,DOG,ROTTWEILER,LOST,IMPOUNDED,STRAY,WEB,,2022-10-06,NORMAL,LOST EXP,2022-11-07
A1154468,DOG,MIXED BREED,LAB 14,LAB,STRAY,AT LARGE,OTHRINTAKS,2022-10-22,APP WNL,EUTHANIZED,2022-11-15
A1161830,DOG,SIBERIAN HUSKY,LOST,IMPOUNDED,STRAY,WEB,,2022-11-07,NORMAL,LOST EXP,2022-12-08
A1160743,DOG,PIT BULL,LOST,IMPOUNDED,STRAY,WEB,,2022-10-24,NORMAL,LOST EXP,2022-11-24
A1162196,WILDLIFE,RAT,PK05,AVAILABLE,OWNER SURRENDER,URGENT,OTHRINTAKS,2022-11-12,APP WNL,ADOPTION,2022-11-15
A1160306,DOG,PIT BULL,FREEZER,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-18,APP SICK,EUTHANIZED,2022-10-18
A1161078,DOG,MIXED BREED,DC 06,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-29,APP WNL,ADOPTION,2022-11-04
A1165593,DOG,MIXED BREED,LFD 150,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-29,APP WNL,FOSTER,2023-01-07
A1162721,CAT,DOMESTIC SH,K01,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-19,APP WNL,FOSTER,2022-11-22
A1170446,DOG,SIBERIAN HUSKY,LOST,IMPOUNDED,STRAY,WEB,,2023-02-27,NORMAL,LOST EXP,2023-04-01
